1,
-34731.67597592154,59.0,
74845.72080581514,59.5,
32937.27192994074,60.0,
-42798.10359043283,60.5,
-71993.81385768602,61.0,
24107.104461650393,61.5,
81509.37045966866,62.0,
52871.85045731287,62.5,
-85992.90237018636,63.0,
-65380.07066522843,63.5,
-88472.93482214487,64.0,
6904.737987490349,64.5,
181.59335377494972,65.0,
-4516.3219079031915,65.5,
78162.76810357701,66.0,
25102.889398248208,66.5,
38795.926069500645,67.0,
-52371.76450279249,67.5,
-45072.00120948087,68.0,
10310.959468451249,68.5,
33132.57717431999,69.0,
-4535.776006595375,69.5,
66537.2965461296,70.0,
60803.668978119764,70.5,
-64157.02677352268,71.0,
-79259.74132706205,71.5,
37789.83985388643,72.0,
-83478.21222144694,72.5,
80463.13098834807,73.0,
-76075.50726233188,73.5,
-30488.65579881541,74.0,
63675.71514675061,74.5,
27137.5803076826,75.0,
-31035.225032558716,75.5,
51034.72146425633,76.0,
62311.398762965604,76.5,
96809.607999012,77.0,
60419.085523734815,77.5,
51134.97626555279,78.0,
67459.13004963184,78.5,
-76920.3430487003,79.0,
58668.76150820161,79.5,
75985.05486969794,80.0,
41820.28343329195,80.5,
-28089.361016284114,81.0,
58927.35786970589,81.5,
76843.31577190578,82.0,
-61510.85022347768,82.5,
63628.654868816826,83.0,
-88218.58252220922,83.5,
34602.405891222166,84.0,
-3774.9110293304893,84.5,
-10357.237502553526,85.0,
10105.003817658706,85.5,
59878.07985331278,86.0,
96765.65180406938,86.5,
-20956.958954276593,87.0,
48931.7990443906,87.5,
13401.752912416203,88.0,
22102.444369217235,88.5,
8106.745679133779,89.0,
75977.90356169085,89.5,
70885.5799164456,90.0,
61327.643650396574,90.5,
32904.26171442299,91.0,
-32571.737650671923,91.5,
-4892.301688356614,92.0,
54598.39207466968,92.5,
95132.25452068305,93.0,
8471.339038111815,93.5,
-41410.44390599399,94.0,
-49415.16469765399,94.5,
-29948.762347797092,95.0,
77601.48331104148,95.5,
-67074.64690918484,96.0,
107195.69992315873,96.5,
-50581.91274236185,97.0,
-47875.829891301495,97.5,
61338.44991204579,98.0,
-85551.91588451799,98.5,
-20887.06467607133,99.0,
15445.472578040877,99.5,
-38457.41636377982,100.0,
44568.73348188312,100.5,
-87108.68638441496,101.0,
648.2525337938223,101.5,
100874.28527799326,102.0,
63588.255202034656,102.5,
-78746.03034667968,103.0,
13389.803399295615,103.5,
90666.0006681679,104.0,
-57985.694001986325,104.5,
-61694.47855043136,105.0,
-44970.10645668437,105.5,
79129.10065451075,106.0,
-84980.58664056697,106.5,
52596.98714410956,107.0,
55959.63054182334,107.5,
-62220.79517227449,108.0,
-56880.56419074946,108.5,
-19537.042044819744,109.0,
17897.699983797313,109.5,
23911.705925318183,110.0,
-52191.83652976434,110.5,
58541.18979962148,111.0,
88276.89994143932,111.5,
-30860.394623353015,112.0,
93306.1756538406,112.5,
62005.987825679,113.0,
16887.06995084113,113.5,
49634.074784268945,114.0,
19281.97900236042,114.5,
85938.02116014001,115.0,
-72569.35076707248,115.5,
99142.4682124135,116.0,
84713.55514920395,116.5,
-14745.390111561817,117.0,
-59596.02990498548,117.5,
71651.80436551318,118.0,
-20266.699385510532,118.5,
-68926.16324825757,119.0,
24272.585928796107,119.5,
108130.57065767565,120.0,
35819.22459965755,120.5,
113235.61086046166,121.0,
10515.643766867892,121.5,
10889.456972163727,122.0,
-23858.211115368125,122.5,
86901.5506725568,123.0,
-79376.73296280974,123.5,
72695.9296987511,124.0,
4448.358204011882,124.5,
-60138.655227844065,125.0,
73041.20422083422,125.5,
-68858.30963295278,126.0,
-32063.346771160075,126.5,
6090.3738471475845,127.0,
-73290.00972378359,127.5,
9023.23137592465,128.0,
90234.56578336787,128.5,
55403.00033793835,129.0,
74859.06566011577,129.5,
98298.53524194648,130.0,
109024.05583302428,130.5,
50590.53652187219,131.0,
58915.33436187684,131.5,
-9491.043588502074,132.0,
-63620.54484037036,132.5,
-2881.0001856589406,133.0,
53299.42731764351,133.5,
88636.5988469756,134.0,
78084.45466063089,134.5,
-61558.586464953274,135.0,
55366.81870605499,135.5,
-45145.418382792515,136.0,
91102.39531598634,136.5,
113939.66568589774,137.0,
14848.499907790541,137.5,
-1363.9580155439216,138.0,
18333.38223055281,138.5,
66296.93642706491,139.0,
17689.153990527124,139.5,
89243.23286175908,140.0,
-76341.96272658545,140.5,
-24324.670498472187,141.0,
-1688.7040283436945,141.5,
65878.97329390566,142.0,
69860.36033737694,142.5,
-52443.62796700583,143.0,
87965.18683552346,143.5,
44402.04707539479,144.0,
117214.04221367149,144.5,
62323.75453300877,145.0,
-15573.898282036316,145.5,
90968.34320735009,146.0,
15429.786653459265,146.5,
95450.76192891777,147.0,
-2097.3311409489543,147.5,
21187.66007084996,148.0,
39436.83338502759,148.5,
85073.16958029762,149.0,
5726.4383409153525,149.5,
31763.06680642113,150.0,
-17881.93734673434,150.5,
100559.72622668679,151.0,
59090.11747131179,151.5,
26895.298981453852,152.0,
-30426.88755991253,152.5,
79599.11034777512,153.0,
102373.49390484052,153.5,
-42429.64848960577,154.0,
13079.16169413618,154.5,
-66302.60905373278,155.0,
-9664.401411380422,155.5,
116416.02366162448,156.0,
45305.978308142,156.5,
66059.66583520481,157.0,
82411.80461149823,157.5,
28442.77400730427,158.0,
57877.250660455946,158.5,
15635.510238174802,159.0,
22994.648798187343,159.5,
53871.4418344649,160.0,
-20831.87815791137,160.5,
25953.528757344782,161.0,
-759.3102708490551,161.5,
-43162.01180739081,162.0,
80782.58964679009,162.5,
-27820.577319377684,163.0,
100838.72797359181,163.5,
112477.07232063175,164.0,
-30174.58839286877,164.5,
-10735.463298373186,165.0,
71506.68304422247,165.5,
-24878.547614116702,166.0,
6447.664640636234,166.5,
73098.20322617008,167.0,
-42486.28778972803,167.5,
-39071.21000427219,168.0,
10157.960833018882,168.5,
-6869.700630312349,169.0,
37982.03609652948,169.5,
68483.33074301321,170.0,
63084.421245937745,170.5,
103904.42204269102,171.0,
-59607.21175814887,171.5,
-11659.016509831941,172.0,
-45294.86086229341,172.5,
44589.96320976639,173.0,
68941.83503806256,173.5,
127183.96503782085,174.0,
47562.505097453,174.5,
-23862.567680185668,175.0,
115029.27657418871,175.5,
29074.11550037543,176.0,
54988.33843524787,176.5,
-10825.425890327344,177.0,
24443.608840784513,177.5,
43109.527716676355,178.0,
79211.58596328841,178.5,
-60761.32402281929,179.0,
23090.76099074325,179.5,
91279.3893891056,180.0,
32668.815131460753,180.5,
-42322.42804497297,181.0,
-31448.397864479688,181.5,
105455.43805880762,182.0,
-46320.55376994467,182.5,
101744.47228882278,183.0,
118236.67623818414,183.5,
-35848.97733445998,184.0,
111685.30180707113,184.5,
28678.068225087154,185.0,
77047.31652629521,185.5,
64100.910010877255,186.0,
-3832.1814879361846,186.5,
20723.837462293704,187.0,
-55289.3739972273,187.5,
-9627.551799615743,188.0,
-62400.26034041992,188.5,
65179.498481086935,189.0,
87953.63962614498,189.5,
15641.091556119532,190.0,
2867.7828394560274,190.5,
41907.726038059875,191.0,
98917.01518660344,191.5,
121061.39711474303,192.0,
-29430.714981134122,192.5,
-40115.728670387354,193.0,
65385.400418607926,193.5,
6125.555428448926,194.0,
108925.14006289854,194.5,
73048.15114139255,195.0,
52321.85312163533,195.5,
3333.0861055308415,196.0,
-25806.514150274314,196.5,
-43270.26364630353,197.0,
46640.515064887615,197.5,
9528.048283570039,198.0,
68145.29002789718,198.5,
-9666.572636291632,199.0,
95279.67504980169,199.5,
9394.04778641641,200.0,
74595.84025488369,200.5,
76513.12530661243,201.0,
69580.89451581196,201.5,
37431.10989897226,202.0,
-14996.041343969395,202.5,
97601.7125135898,203.0,
-13710.288205181132,203.5,
-35911.961237975585,204.0,
53691.17357658656,204.5,
43966.31203430372,205.0,
35364.515860212676,205.5,
7830.868801709199,206.0,
102814.73783935665,206.5,
-12372.904526371618,207.0,
122091.44122397926,207.5,
127536.11234988621,208.0,
112818.46957516787,208.5,
139473.2193256289,209.0,
137649.7012159889,209.5,
3790.9047800551634,210.0,
25520.85260836737,210.5,
137822.4883570338,211.0,
-29437.91711534768,211.5,
86315.92963403891,212.0,
-5431.419996399782,212.5,
62375.12527192179,213.0,
11233.985692923816,213.5,
80650.48355732212,214.0,
-23162.23064954295,214.5,
58707.016310722145,215.0,
134718.3124159078,215.5,
142500.84097983252,216.0,
-15223.237015344559,216.5,
2384.856502666051,217.0,
8971.294716301702,217.5,
-40992.897017543975,218.0,
-26324.009993751984,218.5,
44542.66995330035,219.0,
-38415.79982811418,219.5,
37462.4536675665,220.0,
-43323.93137512033,220.5,
91351.16239995725,221.0,
31530.909051503524,221.5,
53720.02044751265,222.0,
-30902.42268559456,222.5,
43159.19170008852,223.0,
59359.92874951023,223.5,
98633.42453185315,224.0,
39858.479705652164,224.5,
61234.98769895773,225.0,
54349.828163574144,225.5,
-2573.941433481981,226.0,
91901.01430032699,226.5,
49409.84365937184,227.0,
68076.33904900822,227.5,
-24319.660266816412,228.0,
45712.747866059595,228.5,
12252.94279467201,229.0,
17011.84982574307,229.5,
48658.88817056808,230.0,
102282.38054967811,230.5,
-3062.788682750317,231.0,
145336.00667653757,231.5,
135014.65485281654,232.0,
134785.3417919984,232.5,
-20440.718799961876,233.0,
44469.81788103285,233.5,
-40364.34414436472,234.0,
30077.703860176327,234.5,
92785.5693049892,235.0,
13976.532373596361,235.5,
28071.312831132982,236.0,
79155.32354939176,236.5,
115107.26359843936,237.0,
154587.79346496303,237.5,
77962.63183253919,238.0,
31497.470950808758,238.5,
48963.758930118114,239.0,
-5084.15589506954,239.5,
34932.266473378964,240.0,
119353.63220365747,240.5,
56689.47323524295,241.0,
151551.6778858084,241.5,
106702.03798505075,242.0,
110278.31131669282,242.5,
20094.92025459827,243.0,
147322.9228505394,243.5,
43360.79959195652,244.0,
5369.442614096202,244.5,
68238.04251670121,245.0,
77067.6603807028,245.5,
-24841.22902188076,246.0,
127389.49893877981,246.5,
40914.51585998583,247.0,
154128.42703000444,247.5,
-33887.28647041353,248.0,
134573.22333008505,248.5,
24230.081630195426,249.0,
140607.51142997236,249.5,
25607.797518866988,250.0,
52741.47072268644,250.5,
-10924.820631149385,251.0,
83583.9535984573,251.5,
17251.92373498765,252.0,
144846.84626558187,252.5,
-4731.164836145152,253.0,
37399.17002246568,253.5,
6281.8764626289485,254.0,
100393.21950756905,254.5,
-9941.529791065564,255.0,
-31606.01966850381,255.5,
-4106.352254215148,256.0,
61451.04673783072,256.5,
62864.00197663068,257.0,
31475.172381039818,257.5,
-14282.125247936026,258.0,
5521.435538296377,258.5,
8613.851766914806,259.0,
112727.82602909498,259.5,
167073.05503562104,260.0,
42979.12813060497,260.5,
109867.18875434516,261.0,
41901.86911515308,261.5,
147083.27732196898,262.0,
152580.68425415613,262.5,
161897.06429019826,263.0,
106715.46448682828,263.5,
-17242.219883190308,264.0,
73597.2675927236,264.5,
-14009.728027224992,265.0,
41298.9815663223,265.5,
-23228.90796877192,266.0,
86678.1245959766,266.5,
89766.46699355499,267.0,
42277.45096040361,267.5,
82811.07973481173,268.0,
67115.9275635074,268.5,
-1445.7256146707805,269.0,
40332.25366993842,269.5,
67539.17722939039,270.0,
70747.29796461659,270.5,
38639.39125609909,271.0,
167433.69788565935,271.5,
156077.01003571955,272.0,
40640.339573059035,272.5,
165196.13384561113,273.0,
32793.03231276731,273.5,
111394.84808134157,274.0,
9585.81315450638,274.5,
172874.68753488775,275.0,
159211.13526818628,275.5,
23357.68224422796,276.0,
126109.67312414842,276.5,
116012.01761734753,277.0,
161419.45308594903,277.5,
58991.8659858363,278.0,
-7950.068636961951,278.5,
109126.7364434368,279.0,
104081.3734177243,279.5,
142379.84345901635,280.0,
159266.38427224333,280.5,
35107.74359350238,281.0,
36673.34408190021,281.5,
150513.90217950137,282.0,
15094.253934039363,282.5,
28104.3260586498,283.0,
7271.184870619822,283.5,
-9783.713097617816,284.0,
82459.13696976162,284.5,
41356.25637747221,285.0,
42409.0739244272,285.5,
47360.5954363989,286.0,
124141.48530806831,286.5,
28656.788397542005,287.0,
41212.185731285084,287.5,
35355.99979879697,288.0,
16355.262438612699,288.5,
72990.73887889851,289.0,
110738.4724423066,289.5,
54363.40123287277,290.0,
134082.50807445787,290.5,
174402.5591737331,291.0,
152124.5710758827,291.5,
75201.0396391998,292.0,
145582.4169206128,292.5,
154245.40703822701,293.0,
47530.57697678019,293.5,
155104.1058428763,294.0,
39932.36388881616,294.5,
121045.4605697142,295.0,
125642.97417211818,295.5,
128843.41859699223,296.0,
77579.64334561024,296.5,
-643.0794074597798,297.0,
33080.35698341685,297.5,
185087.27135356696,298.0,
23330.071942992945,298.5,
68932.69364184914,299.0,
77685.65226687289,299.5,
138139.26227963567,300.0,
115818.37188821108,300.5,
131802.6899608325,301.0,
53193.73774012582,301.5,
141043.71194239557,302.0,
125825.7707458672,302.5,
1875.3143555815186,303.0,
3588.2552912183164,303.5,
112744.43992106337,304.0,
126723.8709920242,304.5,
110683.44099499725,305.0,
157355.0955102118,305.5,
48921.01674729665,306.0,
37991.056062136755,306.5,
39019.110407184926,307.0,
107253.3296877244,307.5,
35572.74024402325,308.0,
47014.26153119784,308.5,
1599.3597729739267,309.0,
64786.53306881641,309.5,
36405.9460542871,310.0,
52410.81839907026,310.5,
109635.58100597259,311.0,
188646.04864246357,311.5,
162718.14390099025,312.0,
93542.71061313504,312.5,
167979.69291246013,313.0,
110948.21301571373,313.5,
78195.46182808092,314.0,
7779.204858618119,314.5,
46075.53618127518,315.0,
49681.326876844745,315.5,
112057.0013788286,316.0,
104571.03693309115,316.5,
110200.07778000223,317.0,
120471.92836677098,317.5,
167047.18841625666,318.0,
102687.95820154912,318.5,
128741.9392789302,319.0,
5297.964364493411,319.5,
73177.33613252622,320.0,
184124.48879061738,320.5,
148110.25375039995,321.0,
115478.77220919244,321.5,
130696.41740560462,322.0,
28956.7092722488,322.5,
203866.41602448642,323.0,
40305.969815148535,323.5,
19456.666801709274,324.0,
70932.2497723711,324.5,
12355.915226350626,325.0,
198152.48644575704,325.5,
155562.64414179162,326.0,
31496.627211937986,326.5,
129066.58812833298,327.0,
21278.19863056598,327.5,
47284.1397386512,328.0,
181522.213011788,328.5,
37011.39866424698,329.0,
67046.50372609682,329.5,
165770.06379653327,330.0,
162092.9165883825,330.5,
29659.357255711075,331.0,
16804.726125316534,331.5,
89080.43543724208,332.0,
73406.79698031058,332.5,
61400.545358296156,333.0,
139047.29387344926,333.5,
39865.06157105876,334.0,
58331.71310150602,334.5,
144322.50873623343,335.0,
48313.04091940549,335.5,
109249.77139086829,336.0,
166589.90131342632,336.5,
28947.822572571953,337.0,
150374.57160687493,337.5,
112020.6608763594,338.0,
203309.140466842,338.5,
190654.46474569972,339.0,
141272.7943944971,339.5,
67437.67717474382,340.0,
26768.527177436088,340.5,
115235.50638719038,341.0,
82851.16834331746,341.5,
140024.7173597201,342.0,
88678.04421163285,342.5,
207173.99583332654,343.0,
28892.51024894038,343.5,
64744.6128410344,344.0,
44361.21210739421,344.5,
165476.02933935155,345.0,
103452.48484615606,345.5,
130170.07433447472,346.0,
131939.29331524577,346.5,
33897.47389851912,347.0,
86666.28114063811,347.5,
44248.57483930036,348.0,
155134.73564618392,348.5,
181100.01339064806,349.0,
202497.95982910268,349.5,
147790.41651780717,350.0,
194151.59150257925,350.5,
24426.237454489747,351.0,
180333.18878903048,351.5,
158764.0687175031,352.0,
212410.57950538793,352.5,
134450.63542981845,353.0,
36962.2427614545,353.5,
56327.44358280985,354.0,
93015.58072038554,354.5,
53803.44498552222,355.0,
207511.458827787,355.5,
79823.31597476534,356.0,
196811.39981668213,356.5,
171797.43455710262,357.0,
38297.60916955484,357.5,
144791.2943613366,358.0,
184323.07409888203,358.5,
130453.84600400724,359.0,
130707.14810494431,359.5,
108112.04184570657,360.0,
182334.14702353074,360.5,
193215.74553946828,361.0,
169737.3215162157,361.5,
70200.67262807413,362.0,
48681.5502726908,362.5,
193985.39393948333,363.0,
141201.94129485666,363.5,
75150.0024037433,364.0,
106712.57629571883,364.5,
126233.66281755116,365.0,
128201.08330802157,365.5,
156961.73549499406,366.0,
185175.1859938553,366.5,
119614.79717723628,367.0,
233148.59067247904,367.5,
92159.75129479205,368.0,
48669.4402066304,368.5,
47525.3815033163,369.0,
227798.97660310508,369.5,
37895.28865292763,370.0,
168275.06753301306,370.5,
76615.38099834089,371.0,
64306.096991374085,371.5,
112874.89627369487,372.0,
131564.82378147452,372.5,
132954.1463863814,373.0,
177084.82288070564,373.5,
224544.19017429848,374.0,
49824.27906705605,374.5,
49427.654823647725,375.0,
201760.46146291817,375.5,
157718.81442082487,376.0,
162654.86207528634,376.5,
110149.45932814675,377.0,
154447.238776682,377.5,
108228.62389013152,378.0,
219046.67589596703,378.5,
228297.66892140335,379.0,
220164.62983276046,379.5,
193432.37780668627,380.0,
114405.77983597328,380.5,
175976.27047190923,381.0,
95504.1763202156,381.5,
133998.3921932194,382.0,
238589.88353364752,382.5,
140056.07330133815,383.0,
69854.84035764256,383.5,
144497.14524502764,384.0,
140403.03411726342,384.5,
88393.01986785274,385.0,
72464.41981824081,385.5,
165610.37546421343,386.0,
121328.18817210822,386.5,
209365.35187402123,387.0,
233088.50685965788,387.5,
214716.5523289713,388.0,
137243.5966072293,388.5,
66661.76591387148,389.0,
81180.10392159593,389.5,
232474.27474136307,390.0,
234709.30929674537,390.5,
70150.37926003718,391.0,
189759.7466298157,391.5,
141858.10551675275,392.0,
105801.97551847786,392.5,
98670.20460402209,393.0,
190151.25248460268,393.5,
137008.51301922626,394.0,
135218.6209037723,394.5,
159006.070772875,395.0,
82790.25017883602,395.5,
191767.70650272293,396.0,
83844.38823087647,396.5,
78853.09968448574,397.0,
257844.42378956027,397.5,
237215.39995455064,398.0,
212424.1232698218,398.5,
144789.8124633562,399.0,
145309.93964572652,399.5,
214014.51357316028,400.0,
179582.66608368518,400.5,
71180.18614928536,401.0,
194553.0602936884,401.5,
251443.26855547013,402.0,
156479.8988881729,402.5,
223500.19277383998,403.0,
202190.72447931365,403.5,
169298.45214637145,404.0,
130569.4214306598,404.5,
91197.57775663908,405.0,
99290.03794120121,405.5,
255739.8402982838,406.0,
102175.62901673565,406.5,
199518.59890823986,407.0,
112304.939377053,407.5,
202589.67305938987,408.0,
252545.4661528137,408.5,
125005.29595176753,409.0,
83296.49751519559,409.5,
97125.33172200814,410.0,
214667.55289951162,410.5,
114849.09576519835,411.0,
269151.1790956694,411.5,
173717.63515232978,412.0,
105052.88300229987,412.5,
251578.17555527925,413.0,
240048.07586056174,413.5,
234545.329034632,414.0,
207901.23611770896,414.5,
220626.59095901682,415.0,
206956.8083716724,415.5,
102157.97131786989,416.0,
87975.96139980645,416.5,
261219.99046947755,417.0,
177184.6135139898,417.5,
76764.90153956325,418.0,
79648.86386721577,418.5,
260423.42402889818,419.0,
230201.80336720913,419.5,
255780.47203774523,420.0,
188246.14734427273,420.5,
143407.461657959,421.0,
259120.5524594537,421.5,
257565.60006723757,422.0,
140783.61924171995,422.5,
213342.02010425396,423.0,
168492.55233186626,423.5,
168883.4009129262,424.0,
98018.90178843589,424.5,
231054.09697466582,425.0,
203238.9161504862,425.5,
261722.31799347908,426.0,
212617.3958591856,426.5,
104958.02022482119,427.0,
125388.51711423858,427.5,
168550.04347180293,428.0,
134272.09590711014,428.5,
126217.84282156901,429.0,
197353.41783626043,429.5,
251364.76339904795,430.0,
140562.1735801112,430.5,
120219.58847505902,431.0,
182095.4343283385,431.5,
147554.8531825969,432.0,
165178.10678963573,432.5,
197582.7936073316,433.0,
275100.8333594114,433.5,
204073.02419440862,434.0,
119261.95933758968,434.5,
104009.1091718829,435.0,
104376.39486053005,435.5,
239587.95196044774,436.0,
208116.6863086887,436.5,
198519.04080497523,437.0,
130884.89808553617,437.5,
108582.185459507,438.0,
185759.2964967005,438.5,
205627.55674458042,439.0,
168609.7043049555,439.5,
104891.81565512996,440.0,
259321.37147309724,440.5,
294120.91285227437,441.0,
116008.04189965564,441.5,
202149.51098043023,442.0,
189226.96714982382,442.5,
134319.35156645265,443.0,
238472.81070020085,443.5,
277808.3171175429,444.0,
286804.5388489762,444.5,
260553.8722857734,445.0,
298476.14259900816,445.5,
117998.83456485896,446.0,
280727.2881112853,446.5,
239301.53974605637,447.0,
111014.43535088538,447.5,
134041.5552561112,448.0,
140276.5303830544,448.5,
225296.70927056216,449.0,
195814.4719735264,449.5,
260352.76547430284,450.0,
241715.15437238727,450.5,
288553.861479379,451.0,
215441.56573194245,451.5,
267396.4447745241,452.0,
125223.78493920751,452.5,
303506.4010858723,453.0,
132824.20930060302,453.5,
183933.45986108677,454.0,
209972.66804068588,454.5,
118366.41815012656,455.0,
137973.1790417181,455.5,
304248.203178689,456.0,
301228.86537846527,456.5,
219431.7695898336,457.0,
126966.48646374817,457.5,
292489.90681436507,458.0,
260122.37408039102,458.5,
118173.53951616926,459.0,
133044.09300419828,459.5,
217484.59260554524,460.0,
243739.84650688435,460.5,
271332.30966669903,461.0,
207107.0875456021,461.5,
204890.84663272926,462.0,
213791.56621711087,462.5,
252255.5527342303,463.0,
158211.33714576816,463.5,
224791.84766703885,464.0,
316187.6145409866,464.5,
268768.8002343988,465.0,
149870.34203342872,465.5,
159322.69872193484,466.0,
203879.55189109794,466.5,
280416.4962120438,467.0,
261487.77199449186,467.5,
248244.3879658312,468.0,
143892.3765551913,468.5,
225917.4078473515,469.0,
177105.47583671322,469.5,
277664.0024804672,470.0,
145651.23757441866,470.5,
186104.44951578148,471.0,
273507.69046997547,471.5,
162158.48101957928,472.0,
151840.99238585524,472.5,
214685.3088222571,473.0,
177018.1164051915,473.5,
130228.23133308638,474.0,
125851.91281296832,474.5,
259277.4590914278,475.0,
234879.25276592796,475.5,
178532.6398777626,476.0,
240820.92277674872,476.5,
257212.04133462676,477.0,
306191.39214875334,477.5,
232079.18580587427,478.0,
216526.73727886067,478.5,
131039.59375374977,479.0,
231491.0143074501,479.5,
267456.26657294104,480.0,
168358.95557363232,480.5,
312302.24941209925,481.0,
309983.40149369487,481.5,
241095.72225761454,482.0,
140578.9287490106,482.5,
165825.55088892375,483.0,
279472.17330283887,483.5,
146944.09843758342,484.0,
264594.23115318717,484.5,
268518.0952367325,485.0,
268154.0169101802,485.5,
180718.40350607582,486.0,
156227.03364915535,486.5,
146449.49927121462,487.0,
298784.74573603633,487.5,
169171.97077701322,488.0,
177132.0956979466,488.5,
178272.56986281913,489.0,
231456.07673985726,489.5,
221680.36880973802,490.0,
154822.28852493706,490.5,
241196.40817177447,491.0,
214533.64928530448,491.5,
204471.99027882313,492.0,
286110.23661808495,492.5,
275600.4528865307,493.0,
249678.4130857344,493.5,
144671.12425058644,494.0,
198030.15815406758,494.5,
270393.75483098516,495.0,
272197.8700576927,495.5,
254849.36418310992,496.0,
209210.24887532214,496.5,
297834.993980466,497.0,
171901.6538104039,497.5,
234482.3024827521,498.0,
342954.0065658307,498.5,
248471.90948320404,499.0,
253961.91552194752,499.5,
232063.2929712521,500.0,
182547.52850356157,
